summonerId,puuid
-dpVlUANKLdhc3InfMmVzXOVIOm1NvDgRFGxFD1VKepfZToR4w-puF9fFA,yV5GSUVGMwV3vssGiGjBCD-tVE2T78OyWF5pgqSh-Se97bFQmD3bUqdbkGxXvSMelmGWaoJZBq1GYw
716iQRkQq37ws6mFPuD53eUZxBPpD9lbpLxoG4VX4Oc7SvY,ssD6Q39t1heytzLHxvDQM347A4LPlumNFau_lHPYkFfNGmQhjCA5InYn5QQOhMAsjjdOVOf_hg3i6w
0gJ7oYYa7YgKiH6nXqNtMgChycPNsZzVgd5VPOMxWQqfSTAianWtJSz_XQ,EDTP-WkSF7GbapisSMJtC1I8GwY_s7_aooSgXJ2pgsuKZ1ixqjrR_i9mITfkpFZSnIRECyqp6bLKEQ
3YbIX91CACerMP4hhLEogJ82Yth_KdvLPNJKC6kXfyb0hVRc,W0pGMpFttuGlmn5tAPw1Zl7sNvp67DuLitfuQo4Jt0-B-xATRO0AKWL1Lw0nXXOnOYIa3kbM_LFnuw
ks4pGf1usvkboMGcEtZ9yYyuZ6Oor1CmlnnskJj9i1EtSQg,oJcbNmFbYsvP3nuXtjpHhax_PAaEBMmxLpkzkuo5gOtCBi9uHDGh__8F_MaXGREfvraL-Kn7Y1yt8Q
diWOvjfDFphIWP7r-EL5CIeeoEjHAZivpBD15feWpLN13gfc,gjd-mrpNSstF5OsHMOCzVjk6AcJaUEKhK0rhhraHmZ35EPGhbs-kJ4SFKpvPYUNirmh2CIUK8aF52Q
YYnXF_4f9ubCPhqqbCiOH5EmhLgJDmcPvZXsKYoeSqKJqnp_,7-mmGtLDZKLAmjVCND-V2yqKOTLwvn-xmTHSbR_UiLElnbWTyM8rb4vzd9mAolx-HAmt9whjB1aIMw
Z0xxaXRIufnE6K-jVsJ1LxvZyg-VqhMYVQGMUcjtfq76nKwIODIVctx2pw,DH4bwueGfuo9VC-P3T7wyrCbuGYy2Ouy3Y5VOo7q3kTOKmq8DWDMBSUtimMfXCvrmqCyuW8zT1ukAA
COI0UAd1ks1f46NA-eNkXySKy6d9lwKXiwCOugKI-WxB0KE0HhHglGGovg,tkZa63r9piycTFLuUxfoqSWeSFxXk2DIt_8gDxf9NqG-O0SSffmHsewU8f_gG5pShRj7NcQe1B6ACA
a1mKh-bgVsUxZHS4blv5pV2r5MVm6fMV-_jrJy5c5Y_y1AUdEJfMNkqSGw,4NxQ640o-g1f-dPXzzUpQHaxIPZY8fUMH2i0l7Q3AZBgs-x4eOMkd6hhqW-eSmi8SKk7mrj_GBUROQ
hs2pCF4RbUdXN5ldxa1IB-NArzvgzeudt0E6lK_BPm2lNA0,U3neTxYPaLwHMNL9LcIe-W4h1Igu-Tnw0hH6uCIMc0o9edYlBzrJsFZ6P81rhC51B-Xob3TxGsfPrQ
q5k-wZpB00d3q8-dur6R3X1saDDvrsSzL_QChi1Gg5eWCy0,ws4ygyWm9hV8Zah26bMeO389EEoviZ21k792kQVjSRi3rHmDQ6_cP0QqQPDgLInyhNhFCVlopYcWBQ
oR1usP_KBVzI0fc3-APQwqQB9vDGzgE5LmoF9zBPMWj6k4I,FObugNYEfY9phfYa-7S-UrT0PkPJBrlJEHpZc4ZP0TbwxqSFw75GDqvpy8yEZJUw40n4nZa_tplMSA
NxZ-3KNZ3qGUynDV-f0Ee4EmtExR_Zu5ARh7l1CWFFtzG0Q,WkkEuK4wqzKMui1XQQcs2Ynh69T7mZL6l34tzqFVtOyhvhQ0uk4NOemCOyNTVvIWInKRIQw5QEag8w
Wv1xxeIb30RmtLIdxyp9E3xu5w1Wb8hWrCZYLE3uGrrT5sU,X5dge7Nq4ZkxZe2ldu_wkjgFKufry0vA0PkFNTJeTG0Z3djq3e6M48_rlYMnoQL_oXNI4eR-AWLzmQ
2a5Ex5W_MaCRdIPVw9NJBAO35hBxEyzvohE03UhvZX6R0Kng,VXK-27rd99iJ6qCs8dQJGkLxT-UvqwUc7cstUKkT_jIs-TV9r8ZwvdtteBnMs99BxLR2u3vPSWCNpw
