,summonerId
114,6QcBal0HdHlDs8po4_b76ahOPTTOZJIG1bt62Eflt2RgLio
115,iTYYB_oQkgrFE3qlneiU94PsUmr00Ntq_PO4N6Hekc9E1-o
116,giarqWuNmsxmMt4Lq66sAoqinjt4n7jHMH-PenzV0BD0CTM
117,BVdjWcgdXraJLnVjV4Zkcrjbtg9e_SkI8jNF2bMMvcv4so8
118,0-5s6cBi9KmL8Qu2PQm1ofytTWoK-CEoopelXVPhzg4WrAzy
119,D5kAWFo6YFkuAwl-KErId2mfBBMOxTNys6EsMea9Koliohk
120,Sc4D2mK-VpGXtqiwL4pXGo7VCt89yu-S_zJAoRrV38wC6jI
121,JscHbA-fIF9xcdZLIGPGlzce3-aQSr6biWNklkvxQraBRHo
122,EVGUQNGgWCLQxtWFDkANRuXCda96V001hZ3Mhk1XGIxg_60
123,VYstHkqHF3zN2coGn2V3jq1vI_amR66G1NWspJ7_-iZqqCmfi63VWqiCsQ
124,ZY9TPOPCClP6KTxjuYVWylnynGjbrEYFcsy2f9RPoz74TCAj
125,szUJf89r8Yv8H2ml_SdSO0wBvNc2kJZK24_RGxCe8gQxUuc
126,mNTASn1QFkCd-9zlriFqJvPVssmzaR13cBS3ctazhBG_K4g
127,pn3GT9bdrjzmvgTaMGYUEFApEAUcMm-py-wxQREy7uuD0sofAyN-F8z21A
128,HCFHY84rLSPKGgNHI0aOG1CRzoOraKar9Zs8_Ur1tmAYY1p-Y9xA-s7a9w
129,7TR282mMVWT7Qxoz05xyIfDXWyDih8izrDhGqvPF74QfHVJB-mOu_mL34Q
130,sVm_olIz18EmclPvYTecHtFK-PztmEUYWQ0GvZXNFuVqKIc
131,ACaFCLvDv75lEbAzT9cvfOQqnMnHKMBmdI2Bj9VjAHeETX8
132,39mhC8X45uW8pBnRfMY2UOH_Rc2hx6pMqqN7JnoSCFg9qEQ
133,I227bGvkg96W2Yk6xV7HY5KeuwSN4uXFnRjx8qNuq5WXdQc
134,aSDmkGDxt3lkvurqIY-5PlTr4DWYJSpNdWNqQQtIUuW6o4dyC0kfD_0JUg
135,oDltBBY4HsVKKRMdG2sqn_mWyr0AhK38lljqsz8ZsOzjBRI
136,WDpCY4qNv2eR38iL_P1lrMs6UTxyVSBLzT-mcZ6ZQaznEE0
137,AEfT2sGngOFySIILptMltjafeEUnrGcn-GPx8Vtm6vXm9b18
138,eOJ2Mh1rCpGozHUS8U1m8Msr35ZyJAsYmiuhqLt3xwramhU
139,4h7SW__e6WM_j61_bVVhh30tX4mKWdECN8oSdw1FIBjj9sbW
140,i_WHygZ_caf6Lhb92-5Hpp9D1AZkZOaBnDZfUu6E2q6uP8LH14gPYlm1wQ
141,wbojRjKtJoW2uiiRrjtX-7csiAUMlgaZE3Zf7nSskV7Y-nFQ
142,gfNyZ9inI022-YYVNLlBTzGy079iAo0gZhC4k9A-hHnLJ9o
143,B-JhpPt0eHcCfQney7hKPRRKpDruOx60mqr5Ngaj1iOIiIoC
144,-1rjERr4BylsxuguJq07zFn4j3RkVIJ4L6EWETZqXygzLM0
145,Jxl5AQK6zzTie2JWqNQf-WoJNRocD1EydWKJMCCNuptFcYU8
146,IR-G5_84k4joBKv-tugfTeOumYySv4CP4fEQWoZCS76ktZaoKvXTerjJcw
147,0EUBXzhhr6KA0Voki1HLxZ3fZoArLFHTaJsBvF0vTR8SRg4
148,wkyHXxSWDka90PuCPhN37raoA7BGaH6A67MmYx_bug8cw7U6
149,1OQ9lP6_LdM3Nakcz262CA3zufc6I0d3TY2L95xarNc4yRJcVy8Ddlbuug
150,EyttqQMLbcdDyfvMEHZUD7nrBjYm5F2D_zvSXlRve6Tttx4
151,wIH7ulxbHw4g7OCi8-3mzBDfcWd2gdGPDpT55F-6VIcC9ycL
152,GTEDlBZEWml85pj_czCTwFc7RBfvaTFAeOYMxrF9QK2Nsv0
153,2_LtwtuYaJVlUm-tVtCUbnHqvlbRUMda0ahJjJfQxh30dDfu
154,7z_qsLmk15EafVkclHB6oNWkTLqQ3Y6LdxWnPA_o6bZwSiw
155,68Ufe_3Rl-Key8Ep-qn1OQF2EKDb_t64fVsbglFq5oDmSdY
156,efaiOURhv4XIVoCpSRZl3vuoiS2tcjPGA0mSCTv4V5s-qb4
157,LLq7YgED9TrmOoo_PlfEKiJq8NckVibtJ5DDkEfbqlV3obo
158,b3Wq-Q6PX5k1gVlZP-t8wo1HqKFRPNpfDxejQQstyeLpN2CP0RFglCOYPg
159,CvWaoR4VUv7UqBYJPweBCneYMlbcVk9UoTyVgr5TPFHRzEY
160,7BnkqPQM52kmqZdQ9edBgXg3GGWU4IaIDdBWRL-RrxZAr_c
161,0OJT8qTNWqULtVaSRTKYsKGYXnbfPkC4c0f2Rbhx36HbavcqqIMPO3P8KA
162,uoyZf773hetgxFzNE4X52kJLpZnrhjgo7CGcQRMLRi_UAag
163,C5BUs2LYw-6l8qtmTpnsrlXlexAK2prGzZO_vxvbHdBBzJU
164,PzxkwXK06JstBmCrByL10xZWuULYYtcFOxxVNGsfDj-nd8k
165,OcKikr3gzppw6gkJYuAjSkVCrSishKSHdU6FzpwQd1IEJdY
166,r1ZcecP1ozEDu1amYQ0MZI6G8p1teDoaFaUIBmuhETvxRtm9XKFn7XHXtg
167,XSJjQB_3JW2dk1wmKPGgfUyXe5WkCezhLR2Zv6X_JFusnbkTaOHkiHZ6mw
168,1nbjbUc9FvfgYA5_Ah-nSZQVaaLoV9W-Ma6iUOzYKXj4xSA
169,R0KTgnaatLk8nxih0L763OvAz4FMkyIDx27_pxFZp30sLEw
170,vKOBCt4Vy3DPfBuby1aB0Hcel4CAi2ek_84uByTMy-oZwkE
171,b2yHvyF_vFZ8KO_fkSZt0Ya5vgc1OXTqft6_4GpWtQxDUhw
172,fHfWnQ2zAhP9mykOpQRQmzx9fi02w9wSVUUkp25o7Vjw9VKP
173,J6HGMTvXlReOsP7uIdsSQ8iRPhRg3miTAYnnoZ2iPpZYrmE
174,7WQockOOZRLbcnw5pgJy7wRlF8tVw2xajKhTak6_6E4dQz0
175,rM2B5a11D8A_YSjJWXpVW9jaoY2qatBZfkh44swZlfVJekE
176,XhFAzWu3-U2bwx7cGgcxsAq6m-fjsSRf6xZFVhoPC7WleSc
177,hF0ZBE5yDh8yYNFiNDahVwwjGlrc7-m28Jx_UkYKGg33vzQ
178,YqrdLD5Q5-BsXT44FX7wb1zOxGmvG34yLIGIIJutE67GFp8
179,Vt2OUdCnco4kL0-pB8sTI4o7YHxthjRo-DpkJRx7W-5WRnsrpojgnSzGGQ
180,-2wkOpIHWbW1GhXl47u5VczLvFowNM_AtWq4p2-nMNHCRsU
181,p4J6NEtmDxIxDq6bRYtFtzY9EqPPFQ18WD6saK8fh1OxFRk
182,epJned75OH-0QK6m6cmYzzLFERPq-7OYhxDN3LK4l_8ceUoLuNJgucScHA
183,RJ__CM-avsV5FZxyeNYwmrZd5hZ6awW9yKTHq3-KdPa0CZk
184,7jbtO1tpHbwZBNio8aCcDpm6n4kJ7IFkJ79RrCuXp3bGQ8Q
185,oAsorKLoCE-boRNTuhnm1qS_MYfO5a_gWaRzhkNsgbf-pchWRsnBmqzJeg
186,vvGks-R1M1o6S59mnW8bIf9cMLwTokPeDdTpWvigeXDNh2IxpLQjXubfeg
187,dpMQZktKe3Zwb0k1LaQeWsHQW7ZqjrUCkA7nxsEOhW8aLaZR
188,ZXFfhe9dvBFxC0CZt4dtniVBKtr1fS9opmpF0YpKfPC43JW2aH1j0-1-nQ
189,6_c6HqSakGd0kJ9Uo1dHZbxfh_0-lSh56AsilIsjyA37cvY
190,WQuhxa37UTjK2fJu1FDNp_wbTYufQVbufj0P78hhhGhetnc
191,u4_4UNIwQJ79V8o61gXOJPEvIl3Kx5l7Vi5FMOLWFaJSZlLF
192,B4mixIZpdyc9GjKRBNJcAJoF5PrkzEK6qMvtUfOP1ft_DCbE
193,rTxf1lX-vH13tETxmfKqVV_YqApEZ9dB1rTyYpe80zVjDdVCsmBIKjlACQ
194,FE3sPAUrXFiuXposKxwiMYnOrT7mmTLc8f_nVvjK0BVi4Oc
195,61u3zSzcqZVRrKy1dhAv-nN8b9cmi3rVMld8UnS0gkhskYFwZoO7fBEUOA
196,8__x2vh2Ozm4ghFkiqJNMHsUdcFWoCtGkMqElfhFMKjzSgQ
197,7CKQq1OOf-wAgmCbqjP2WgrccOEuY4Umor0queLjD3cM3pfp6bENND3ciQ
198,ZQ6wtv_K4_ygTUx2UJDhJ8_irLF0mbpqfr-6wn1B9_5Dnic
