summonerId,puuid
WfPvADVs2pOKlJfpLPEijMB4gxZeUXTmnBbyA6Tc1VgwFS0_fqFvWyPo3A,JCr6oIB7_fbgv0hj5B1nXntcYBho0TRKOAAO5MGI0I_Ze2HWqaCTuIglsCOjqeb85nbJrnuKcBJ6EA
oPl1Hb8iEzupx6FfSfqMT4ftaIR46-UFCnfnyk-DS9VIMBSg36EYGKjKJw,k2hYvQ6nxwdFUuxH_nHUYof8FUVKoRIWovTevVeb0rbXQgMxq81KnbSB_Arcav-dU2OKFxFGB6WTvw
D1om_0arI47xLTfmTxp-LhiVZY-Ui-rJaHo_q2campSc3pdW,I8_w8dB12LGVKdB1Jr65FU130lfKQ6_EEmESVjU9MpmGCq8jqhJJ8l0fhzyN8vNLRDejHf6AjlXU5w
K-DuJ5kRCdfdHT54M_vgn0_Uo-CXPQ9etW1sjP0jsRaYW-k,5JeM5wGaTNxCuL6o8RkmqAiZWmCxeWNEICdwoszwhZsivjpdkYgWZHaIZE1aM5zQHWNDyoT2_IvJLg
3h8pPZL-eILPveidCN8SXTapccUyCgv3Tu7OzEej__aRVC0,8ZVc-MULSmMboPInV63-CRGW05lbFWXI3Yy8qMRPCZRbNkKMFl2qKEvD_QWFxee96Y-Q04LcuqvyAw
5bsue61SBqDE_r7ZYhDQtZDONgShGYPpR-KRdHGr9I0J30DHW98ZVK5Q3Q,7Fh7GTGozYLm5tCEsAebli-SYHFEVu_GuzCpO23HucsaExpZIt6r3d6-DLOn-rv9KqiTPnlRKicP0A
1masYgIBBE7Vbhcx4nTBssrYFx5QirPpFdlPtpb_paTbz_o,ItjKgIhQX00clsjQs18awX_2k2KK4W5YkEQ08VTj6SSzhiYu-heYS29ChqNahx7tt1zTyEIotfpCVw
n4h2ERxXEjIIXaBt5_-nqIRJTyCn7-MWLQvfjIgB0BBQD0o,vfT55I3gUZwDD52sEhle0m-nhq2eoymLXBG_pkddiRPrm4wF-jApyVNRs9CQ7UtxtaD204XiG13LkA
gZg5f8D8GePq-fxeUJv3FHdGBh9IiH5NcwkD4np0SgugFzg2,aa7rISTHnqHvyiPrb3c_D74-STwaO5jyCgJxSgjfPM5pH3fRoDcoVDlGqtMEoNrHNFflBj5oq-5DCg
V0FK4JS5mfJsdB5bLt4tNyxAqqSAj9cXUjV0pqr1f-8sBWd7qWiZ2p_iHA,UKbmwPeC6SDPlXs-nE4G-8HW0ooktZfLPLxVBaYfobSlvRfqkNBLbUXeWMrHE5D3iTlS3whCbtqtfw
3JnxfksqPRq8jjpxfNdR8CMu0Pyx8skBU6zeSReYDkevC5k,y3CcyEul6X7hFnUODmMamio43XyNkmOQao0NnADIBhHl_SnKpkfcKgZ1kwAwDSo-TH1RkfOo2HS1kg
LJDfuxivcylIrweP7ttWbIN0t1k7wtJEX-C7UNWsqw7cN7A,sRP9-oIao-bPjwJpe_cn_TjfeBgRz2imcWfZzH3r8JT3rv5A_113L_YBu6G-v5IXFiZ1AuR3GeS2Wg
5taW-Rculz80AerRvOrRzhYePXRDJ6Ux2_sNn8uz4O2MxNYJ4-c93gTuRw,d4UbTwBpvX0A5QNJLaK7bnyN4pSMv-_81xUyFYEYe156SQ4WYQsxmot-AmHPA4oryNy6JyQFd7GEWQ
hWnNG3YBDv_O9eBdmcc1R2G2tH7c-vYhtmVXhVut4ozVaTo,6VlYY5vd1WU0RF1NuVjn6rfrr3U_VJ3bKR1kjs1GkFGWuKHku-m6mKNtbxMhpLcRTeZ5TwcMIll-9A
vjcEjtOEbObS1kqeNa6Rrrpa0dpoCaG1gTBx6tSkpeRww74,mvCbfyTMAlR2AwYS5iGLSx_IiIPnvj6GUH5UPYrbmicGJCt2BpZdtsFAtFyfA9CnksYtXKMdHvqsJQ
Q3kWcXw4ZSNS7fmUbMRWumSDzqA_4z4K6RgMtNear6wJi8HJ,gCUVnalIJRhzjs6NDsweVQ84DDY0gUAiSDXlP4tGT3izu2iHTWFmQmBgm5kOrRdUrd9lpW7_YO0lRQ
6HknzdWcTX-8DTEF9iLjgP1Kswu9DzTVeUdnkrid3GZqmy-9D3FhQKjb9A,vR2BSM94-yU8fojk-nREV4V3aje4CT2d1EJTBjej1aU_tqunf_JAlRWOLtfVmEgENOdQjfzX-yiojQ
HOTLYZcHeu4bDeWTtroQjpAtuzK7AAZugs-vqLsNKx-fqVo,YRCvdjqi26FaZ6axu0DcpL0ePAxJZcCnQzZAI2H0POeStPBHArgfV7R4CRhNecS-jOUba78LiQrgrw
eEaGi8Fq62qcGvWSqwHyuziF5YQm5ZTXYPz6sYI_xMWByPw,QcAsB9LMflPsINAIKa8Cd2aUoFU0hMpiXCtPjuFPyleOhBNOqHy4AqM0sNTo0yQ_ZTXHRnnkoX9W_g
