championId,championName,kills,deaths,assists,games_played,totalDamageDealtToChampions,totalDamageTaken,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,timeCCingOthers,totalHealsOnTeammates,totalDamageShieldedOnTeammates,damageSelfMitigated,champExperience,champLevel,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,bountyLevel,consumablesPurchased,itemsPurchased,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,objectives_baron_kills,objectives_champion_kills,objectives_dragon_kills,objectives_inhibitor_kills,objectives_riftHerald_kills,objectives_tower_kills,damageDealtToBuildings,damageDealtToTurrets,damageDealtToObjectives,first_baron_rate,first_dragon_rate,first_inhibitor_rate,first_herald_rate,first_tower_rate,timePlayed,longestTimeSpentLiving,gameEndedInEarlySurrender,gameEndedInSurrender,doubleKills,tripleKills,quadraKills,pentaKills,first_blood_rate,firstBloodAssist,first_tower_kill_rate,firstTowerAssist,turretKills,inhibitorKills,inhibitorTakedowns,inhibitorsLost,individualPosition,lane,kda,cs_per_minute,gold_per_minute,damage_per_minute
82,Mordekaiser,5.49,6.06,4.27,299,21588.63,31177.47,18325.0,2721.91,540.87,3.65,13.34,0.0,0.0,33997.47,14829.23,15.22,10987.37,10279.41,169.72,13.94,5.49,2.54,19.47,15.63,8.1,1.17,0.53,0.47,0.32,27.64,1.93,0.66,0.43,5.08,3091.23,3091.23,10179.17,0.27,0.5,0.37,0.43,0.47,1699.56,569.31,0.01,0.27,0.36,0.04,0.0,0.0,0.1,0.06,0.1,0.02,1.06,0.11,0.32,0.98,TOP,TOP,1.61,6.48,387.89,762.15
83,Yorick,4.29,4.32,4.96,194,22250.35,28204.5,7822.35,13862.7,564.57,41.01,10.91,0.0,0.0,23411.41,15713.91,15.3,12034.14,11026.25,164.17,51.11,4.29,1.95,19.05,16.49,7.7,1.45,0.66,0.57,0.43,25.24,1.96,1.18,0.43,6.5,7671.93,7671.93,24924.01,0.36,0.49,0.47,0.43,0.58,1681.13,659.11,0.03,0.23,0.35,0.06,0.01,0.0,0.09,0.08,0.18,0.04,2.46,0.51,0.73,0.81,TOP,TOP,2.14,7.68,429.5,794.12
84,Akali,7.31,5.53,4.59,418,22726.23,26111.32,19980.54,1430.45,1314.33,0.05,1.98,5.04,0.0,15249.92,14466.76,15.02,11064.54,10411.99,175.25,0.82,7.31,2.87,19.51,16.82,7.4,1.9,1.07,0.93,0.36,28.18,1.87,0.81,0.47,5.4,2620.76,2620.76,4129.39,0.28,0.5,0.4,0.47,0.46,1663.33,562.71,0.01,0.31,0.78,0.07,0.01,0.0,0.1,0.04,0.03,0.01,0.83,0.08,0.28,0.76,MIDDLE,MIDDLE,2.15,6.35,399.12,819.79
85,Kennen,5.96,4.91,6.43,169,24114.58,19766.4,21182.64,2460.25,470.99,0.0,26.45,14.47,0.0,12157.74,14646.43,15.11,11231.17,10407.57,183.38,1.99,5.96,2.7,18.74,17.35,8.34,1.93,0.89,0.76,0.38,29.55,2.12,0.83,0.43,5.75,4276.63,4276.63,7349.42,0.31,0.58,0.43,0.43,0.53,1645.93,616.69,0.0,0.38,0.47,0.03,0.0,0.0,0.09,0.06,0.09,0.04,1.25,0.18,0.43,0.63,TOP,TOP,2.52,6.76,409.42,879.06
86,Garen,5.57,4.91,3.66,706,20204.11,30195.75,91.28,15079.98,5032.27,571.69,34.37,0.0,0.0,35551.88,15913.06,15.45,12142.49,11155.99,208.08,8.7,5.57,1.69,19.52,16.14,7.91,1.7,0.34,0.28,0.35,26.68,1.9,0.91,0.43,5.78,6596.42,6596.42,10806.16,0.28,0.5,0.4,0.43,0.5,1680.65,620.2,0.02,0.29,0.32,0.03,0.0,0.0,0.09,0.05,0.13,0.01,2.19,0.28,0.47,0.86,TOP,TOP,1.88,7.74,433.49,721.3
89,Leona,1.58,6.57,12.55,339,9597.44,23769.27,5803.98,2909.93,882.71,3.9,48.36,242.98,630.19,27962.18,9654.54,12.02,7516.2,6790.49,27.25,0.32,1.58,6.29,21.85,62.44,27.96,6.63,3.91,3.39,0.32,26.06,1.68,0.66,0.4,4.86,781.73,781.73,2218.22,0.24,0.51,0.33,0.4,0.44,1646.41,506.67,0.01,0.29,0.04,0.0,0.0,0.0,0.05,0.17,0.03,0.05,0.25,0.03,0.31,0.93,UTILITY,BOTTOM,2.15,1.0,273.91,349.76
90,Malzahar,4.29,5.4,7.53,317,21977.04,18850.36,21177.64,559.25,239.41,0.0,55.97,0.0,0.74,12624.04,15236.92,15.36,11556.21,10607.56,208.32,4.58,4.29,3.37,20.09,18.55,9.66,1.76,1.22,1.11,0.38,27.32,1.88,0.94,0.43,5.74,3448.21,3448.21,8588.94,0.31,0.5,0.41,0.43,0.51,1702.91,599.65,0.02,0.26,0.31,0.03,0.0,0.0,0.04,0.07,0.08,0.04,1.13,0.25,0.54,0.95,MIDDLE,MIDDLE,2.19,7.5,407.17,774.33
91,Talon,8.39,5.55,6.28,430,22368.41,31515.42,120.44,20815.36,1431.97,603.11,5.49,0.0,0.0,19245.07,15201.94,15.26,12359.8,11549.01,99.47,99.2,8.39,1.95,22.15,18.82,4.59,2.46,1.02,0.93,0.36,29.0,1.83,0.92,0.5,5.93,2391.74,2391.74,19737.2,0.3,0.42,0.42,0.5,0.52,1683.47,564.43,0.01,0.31,0.79,0.08,0.01,0.0,0.14,0.07,0.03,0.01,0.87,0.14,0.33,0.73,JUNGLE,MIDDLE,2.64,7.08,440.51,797.23
92,Riven,6.04,5.68,4.48,423,19838.82,24275.55,45.29,18739.98,1052.98,225.13,27.56,0.0,0.0,30995.4,14603.2,15.05,11402.79,10594.63,185.13,5.32,6.04,1.91,21.07,15.46,7.83,1.42,0.41,0.35,0.31,27.68,1.89,0.83,0.45,5.5,4600.23,4600.23,7828.13,0.25,0.52,0.43,0.45,0.52,1638.2,545.09,0.01,0.31,0.55,0.11,0.01,0.0,0.19,0.07,0.14,0.01,1.52,0.16,0.39,0.78,TOP,TOP,1.85,6.98,417.63,726.61
96,KogMaw,7.07,6.45,6.15,213,27492.5,21937.72,14286.62,10478.28,2726.58,146.88,9.92,27.11,0.0,14400.3,12964.2,14.14,11864.69,10950.82,185.35,5.33,7.07,2.09,20.25,16.08,7.78,2.84,0.54,0.44,0.35,27.01,1.91,0.92,0.45,5.53,4181.65,4181.65,13726.74,0.31,0.51,0.45,0.45,0.51,1670.99,505.04,0.01,0.27,0.85,0.1,0.01,0.0,0.1,0.04,0.13,0.02,1.43,0.24,0.51,0.82,BOTTOM,BOTTOM,2.05,6.85,426.02,987.17
98,Shen,4.13,5.03,9.94,275,17085.41,31144.76,6857.77,9161.51,1065.31,3.23,34.2,43.85,2333.04,41860.7,13874.69,14.61,9768.61,9127.36,131.19,4.25,4.13,2.52,19.65,23.83,11.67,2.24,1.03,0.92,0.38,28.45,1.86,0.83,0.45,5.17,1624.98,1624.98,4828.74,0.3,0.44,0.37,0.45,0.41,1708.71,594.99,0.01,0.29,0.21,0.0,0.0,0.0,0.1,0.11,0.02,0.03,0.59,0.05,0.39,0.92,TOP,TOP,2.8,4.76,343.02,599.94
99,Lux,4.82,5.2,9.43,564,20107.52,15310.13,18001.61,1287.35,817.68,0.0,40.74,107.9,2318.45,9989.57,12620.53,13.94,10103.28,9286.58,133.61,1.13,4.82,4.58,20.75,34.86,16.47,3.76,2.03,1.83,0.33,27.91,1.9,0.77,0.41,5.43,2384.4,2384.4,5517.9,0.27,0.48,0.38,0.41,0.54,1676.04,591.85,0.01,0.35,0.31,0.02,0.0,0.0,0.09,0.14,0.06,0.08,0.78,0.13,0.41,0.87,MIDDLE,BOTTOM,2.74,4.82,361.68,719.82
101,Xerath,5.27,5.06,9.49,359,24835.05,16196.95,23675.21,751.69,407.46,0.0,28.7,137.58,0.0,7041.72,13022.67,14.04,10274.58,9337.26,128.61,1.03,5.27,4.16,20.3,33.46,16.45,2.96,1.73,1.54,0.4,28.21,1.86,0.96,0.42,5.58,1852.24,1852.24,4913.14,0.31,0.45,0.42,0.42,0.52,1685.11,592.92,0.02,0.29,0.36,0.02,0.0,0.0,0.04,0.15,0.06,0.05,0.67,0.09,0.37,0.83,MIDDLE,MIDDLE,2.92,4.62,365.84,884.28
102,Shyvana,5.33,5.1,6.16,82,21384.7,39483.87,14614.12,5324.99,1444.7,30.43,8.01,0.0,0.0,31217.43,15000.79,15.05,11944.06,10995.61,42.83,170.61,5.33,2.45,19.62,22.74,4.56,4.65,1.56,1.46,0.32,24.49,2.04,0.87,0.41,5.33,2216.16,2216.16,34317.8,0.24,0.59,0.38,0.41,0.43,1675.07,656.59,0.0,0.29,0.57,0.09,0.01,0.0,0.05,0.04,0.06,0.02,0.9,0.26,0.45,0.94,JUNGLE,JUNGLE,2.25,7.65,427.83,765.99
103,Ahri,5.75,4.96,7.37,553,21947.78,20993.37,15247.15,1746.03,4953.58,0.0,19.97,8.54,0.0,10120.14,14543.64,15.04,11131.5,10244.09,192.12,1.06,5.75,3.55,20.27,18.57,8.59,2.29,1.22,1.08,0.37,27.8,1.84,0.86,0.39,5.54,3353.99,3353.99,5974.26,0.3,0.48,0.42,0.39,0.48,1669.43,603.16,0.01,0.3,0.57,0.08,0.01,0.0,0.07,0.07,0.05,0.02,1.03,0.19,0.46,0.84,MIDDLE,MIDDLE,2.65,6.94,400.07,788.81
